PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
723130,Puruliya,Purulia,Agardih B.O,DHABANI UTSAHO PRODUCER COMPANY LIMITED,U01611WB2023PTC262640,"C/o-Rupchand Mandi, Vill-,Chandanpur, P.O-Purdaha,Manbazar - II,Puruliya,West Bengal,723131-India  Puruliya West Bengal 723131 India",https://www.zaubacorp.com/DHABANI-UTSAHO-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262640
743425,North 24 Parganas,Barasat,Adampur B.O,FOSOLAMRITO FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC262950,"VP AMBERIA (NO.-3),HINGLAGANJNORTH24PARAGNAS,Akimamudpur,North 24 Parganas,West Bengal,743435-India  North 24 Parganas West Bengal 743435 India",https://www.zaubacorp.com/FOSOLAMRITO-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC262950
742223,Murshidabad,Murshidabad,Ahiran B.O,MALIYADANGA AGRICULTURE SOLUTION FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC263315,"C/O ROBIUL ISLAM,S/O BARJAHAN MONDAL,Murshidabad,Murshidabad,West Bengal,742226-India  Murshidabad West Bengal 742226 India",https://www.zaubacorp.com/MALIYADANGA-AGRICULTURE-SOLUTION-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC263315
743232,North 24 Parganas,Barasat,Bagdah S.O,ANYADANA FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC263812,"C/O NANDA KISHORE AICH VILL PO CHHAIGHARIA  , Kalupur, West Bengal, India - 743235  Kalupur West Bengal 743235 India",https://www.zaubacorp.com/ANYADANA-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC263812
700131,North 24 Parganas,Barasat,Aharampur B.O,SKYARROW INFRASTRUCTURE PRIVATE LIMITED,U01611WB2023PTC263896,"368/39 MAIN ROAD WEST PO NEW BARRACKPUR  , Habra - I, West Bengal, India - 700131  Habra - I West Bengal 700131 India",https://www.zaubacorp.com/SKYARROW-INFRASTRUCTURE-PRIVATE-LIMITED-U01611WB2023PTC263896
742165,Murshidabad,Murshidabad,Balarampore Colony B.O,KARIMPUR-II WOMEN FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC263906,"VILL- Topla, P.O-Topla P.S-Thanarpara  , Karimpur Ii, West Bengal, India - 741165  Karimpur Ii West Bengal 741165 India",https://www.zaubacorp.com/KARIMPUR-II-WOMEN-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC263906
743145,North 24 Parganas,North Presidency,Bagermore S.O,NONA MATI FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC264146,"C/O GAFFER MONDAL,,MADARTALA,Chaita,North 24 Parganas,West Bengal,743445-India  North 24 Parganas West Bengal 743445 India",https://www.zaubacorp.com/NONA-MATI-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264146
743383,South 24 Parganas,South Presidency,Achintanagar B.O,MADHUSUDANCHAK AGRO FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC264190,"VILL RAIDIGHI PO RAIDIGH, PS RAIDIGHI,South 24 Parganas, Mathurapur - II,Mathurapur - II,South 24 Parganas,West Bengal,743383-India  South 24 Parganas West Bengal 743383 India",https://www.zaubacorp.com/MADHUSUDANCHAK-AGRO-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264190
743329,North 24 Parganas,South Presidency,Jeliakhali Paschimkhanda B.O,DYUTIREKHA FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC264504,"VILL & PO - DAKSHIN BOYERGODI,PS- Raidighi,Mathurapur - I,South 24 Parganas,West Bengal,743349-India  South 24 Parganas West Bengal 743349 India",https://www.zaubacorp.com/DYUTIREKHA-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264504
742201,Murshidabad,Murshidabad,Aurangabad S.O (Murshidabad),NABARUPAYAN AGRO FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC264505,"MALAY MUKHERJEE,C/O BUDDHADEB MUKHERJEE,Murshidabad,Murshidabad,West Bengal,742301-India  Murshidabad West Bengal 742301 India",https://www.zaubacorp.com/NABARUPAYAN-AGRO-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264505
743502,South 24 Parganas,South Presidency,Bamunia B.O,SHANKSAHAR GATIDHARA AGRO PRODUCER COMPANY LIMITED,U01611WB2023PTC264675,"VILL-GHUNRI, PO-SHANKSAHAR, PS-BHANGAR,DIST - SOUTH 24 PGS,Bhangar - I,South 24 Parganas,West Bengal,743502-India  South 24 Parganas West Bengal 743502 India",https://www.zaubacorp.com/SHANKSAHAR-GATIDHARA-AGRO-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264675
723201,Puruliya,Purulia,Arsha B.O,RANRBANGA ORGANIC FARMER PRODUCER COMPANY LIMITED,U01611WB2023PTC264860,"C/O-DIPAK KR MAHATO,JL-43,KHOTIAN NO-1460, ARSHA,,Jaipur,Puruliya,West Bengal,723201-India  Puruliya West Bengal 723201 India",https://www.zaubacorp.com/RANRBANGA-ORGANIC-FARMER-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264860
742223,Murshidabad,Murshidabad,Ahiran B.O,POPARA FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC264931,"C/O KALYAN DUTTA,NAGARAIL SANKO,Murshidabad,Murshidabad,West Bengal,742226-India  Murshidabad West Bengal 742226 India",https://www.zaubacorp.com/POPARA-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC264931
743372,South 24 Parganas,South Presidency,Baharu B.O,NABAGATA FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC265051,"VILL - NARAHARIPUR, PO - SAGAR KSIHNA NAGAR, PS - SAGAR,DIST - SOUTH 24 PGS,Sagar,South 24 Parganas,West Bengal,743373-India  South 24 Parganas West Bengal 743373 India",https://www.zaubacorp.com/NABAGATA-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC265051
742223,Murshidabad,Murshidabad,Ahiran B.O,GANKAR AGRO FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC265310,"C/O MAHADEB DAS,MIRSAPUR,Murshidabad,Murshidabad,West Bengal,742227-India  Murshidabad West Bengal 742227 India",https://www.zaubacorp.com/GANKAR-AGRO-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC265310
742202,Murshidabad,Murshidabad,Amtala (Mobile) B.O,PAMAIPUR FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC265393,"C/O HASIBUL ISLAM,VILL+PO- PAMAIPUR,Murshidabad,Murshidabad,West Bengal,742302-India  Murshidabad West Bengal 742302 India",https://www.zaubacorp.com/PAMAIPUR-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC265393
743312,South 24 Parganas,South Presidency,Anandabad B.O,SANSIS AGRICULTURE & FISHERY PRIVATE LIMITED,U01611WB2023PTC265777,"C/O- SURAJIT HAZRA,VILL- DONGARIA HALDER PAR,Budge Budge - II,South 24 Parganas,West Bengal,743318-India  South 24 Parganas West Bengal 743318 India",https://www.zaubacorp.com/SANSIS-AGRICULTURE-AND-FISHERY-PRIVATE-LIMITED-U01611WB2023PTC265777
742223,Murshidabad,Murshidabad,Ahiran B.O,GANGADDA KRISHI FARMERS PRODUCER COMPANY LIMITED,U01611WB2023PTC266247,"C/O SAFIUDDIN SK,VILL- GANGADDA,Murshidabad,Murshidabad,West Bengal,742226-India  Murshidabad West Bengal 742226 India",https://www.zaubacorp.com/GANGADDA-KRISHI-FARMERS-PRODUCER-COMPANY-LIMITED-U01611WB2023PTC266247
