PIN Code,District,Division / Sub-Division,Post Office / Area,Company Name,CIN / LLPIN,Address,Zauba URL
700097,North 24 Parganas,Kolkata East,Purbachal S.O,CREPO MEDIA SOLUTIONS (OPC) PRIVATE LIMITED,U22130WB2022OPC257513,"IA 84 SEC- III SALTLAKE KOLKATA  , Saltklake, West Bengal, India - 700097  Saltklake West Bengal 700097 India",https://www.zaubacorp.com/CREPO-MEDIA-SOLUTIONS-OPC-PRIVATE-LIMITED-U22130WB2022OPC257513
743270,North 24 Parganas,Barasat,Baneswarpur B.O,CS PUBLISHING HOUSE PRIVATE LIMITED,U22130WB2022PTC254945,"C/O PITU BIAWAS VILL-BAICHIDANGA,   P.O- HELENCHA COLONY, P.S- BAGDAH,,BANGAON,Parganas North,West Bengal,743270-India  Parganas North West Bengal 743270 India",https://www.zaubacorp.com/CS-PUBLISHING-HOUSE-PRIVATE-LIMITED-U22130WB2022PTC254945
743330,South 24 Parganas,South Presidency,Champahati S.O,SRUSTIKARTHA BROADCASTING PRIVATE LIMITED,U22190AP2015PTC097508,"2-43-3,50 BUILDING CENTER BHASKAR NAGAR   , KAKINADA, Andhra Pradesh, India - 533001  KAKINADA Andhra Pradesh 533001 India",https://www.zaubacorp.com/SRUSTIKARTHA-BROADCASTING-PRIVATE-LIMITED-U22190AP2015PTC097508
743233,North 24 Parganas,Barasat,Banipur S.O (North 24 Parganas),RAVE SCANS PRIVATE LIMITED,U22190DL2002PTC114722,"4323/3 ANSARI ROAD DARYAGANJ, NEW DELHI   , DELHI, Delhi, India - 110002  DELHI Delhi 110002 India",https://www.zaubacorp.com/RAVE-SCANS-PRIVATE-LIMITED-U22190DL2002PTC114722
743221,North 24 Parganas,Barasat,Adhata B.O,SHREE PRANAV PUSTAKAYAN PRIVATE LIMITED,U22190DL2015PTC289003,"4732/21, ANSARI ROAD, DARYA GANJ   , DELHI, Delhi, India - 110002  DELHI Delhi 110002 India",https://www.zaubacorp.com/SHREE-PRANAV-PUSTAKAYAN-PRIVATE-LIMITED-U22190DL2015PTC289003
743411,North 24 Parganas,Barasat,Basirhat Bazar S.O,MYZON MEDIA SOLUTIONS PRIVATE LIMITED (OPC),U22190HR2015OPC057467,"54C , DHANI THETHAR BAD NIMOTH, REWARI, Haryana   , REWARI, Haryana, India - 123411  REWARI Haryana 123411 India",https://www.zaubacorp.com/MYZON-MEDIA-SOLUTIONS-PRIVATE-LIMITED-OPC-U22190HR2015OPC057467
743704,North 24 Parganas,Barasat,Guma S.O,INDE PRESS PRIVATE LIMITED,U22190MH2004PTC147875,"C 703/704 REMI BIZCOURTVEER DESAI ROAD ANDHERI (W)   , MUMBAI, Maharashtra, India - 400058  MUMBAI Maharashtra 400058 India",https://www.zaubacorp.com/INDE-PRESS-PRIVATE-LIMITED-U22190MH2004PTC147875
721303,West Midnapore,Midnapore,Kalaikunda A F S.O,F.M. PETROCHEM INDUSTRIES PRIVATE LIMITED,U22190MH2024PTC435453,"H NO 873 KHUPARI,TAL- WADA,Wada,Thane,Maharashtra,421303-India  Thane Maharashtra 421303 India",https://www.zaubacorp.com/F-M-PETROCHEM-INDUSTRIES-PRIVATE-LIMITED-U22190MH2024PTC435453
741202,Nadia,Nadia South,Chapra B.O,DESH VIDESH NEWS TIME PRIVATE LIMITED,U22190PB2008PTC032206,"NEAR PAKHOWAL ROAD JAWADDI PUL   , LUDHIANA, Punjab, India - 141002  LUDHIANA Punjab 141002 India",https://www.zaubacorp.com/DESH-VIDESH-NEWS-TIME-PRIVATE-LIMITED-U22190PB2008PTC032206
741223,Nadia,Nadia South,Balia B.O,S.L.S. PRODUCTIONS PRIVATE LIMITED,U22190PB2014PTC038695,"H.NO. 447 , VILL. ASSI KALAN TEH-LUDHIANA EAST   , LUDHIANA, Punjab, India - 141203  LUDHIANA Punjab 141203 India",https://www.zaubacorp.com/S-L-S-PRODUCTIONS-PRIVATE-LIMITED-U22190PB2014PTC038695
